trans_date_trans_time,merchant,category,amt,gender,state,job,is_fraud
2/27/19 21:32,"fraud_Langosh, Wintheiser and Hyatt",food_dining,83.64,F,TX,"Physicist, medical",0
2/13/19 19:41,fraud_Dibbert and Sons,entertainment,79.13,M,PA,Secretary/administrator,0
1/11/19 20:03,"fraud_McDermott, Osinski and Morar",home,12.02,F,CA,"Buyer, industrial",0
1/20/19 9:08,fraud_Bauch-Raynor,grocery_pos,84.41,M,TN,Clothing/textile technologist,0
1/4/19 17:04,"fraud_Reichert, Huels and Hoppe",shopping_net,2.81,F,ME,Financial trader,0
1/7/19 16:40,fraud_Volkman Ltd,misc_net,59.72,F,PA,Tree surgeon,0
2/14/19 18:56,fraud_Waelchi Inc,kids_pets,28.82,M,IN,Academic librarian,0
1/31/19 22:28,fraud_Gerlach Inc,shopping_net,1.15,F,FL,"Geneticist, molecular",0
1/6/19 12:17,"fraud_Graham, Hegmann and Hammes",food_dining,3.74,F,PA,"Scientist, research (maths)",0
1/6/19 18:05,fraud_Gibson-Deckow,entertainment,87.4,M,AL,"Chemist, analytical",0
2/2/19 23:12,fraud_Mohr Inc,shopping_pos,831.73,F,ND,Film/video editor,1
1/24/19 7:09,fraud_Wuckert-Walter,grocery_net,31.04,M,MI,Furniture designer,0
1/21/19 1:54,fraud_Kutch LLC,gas_transport,66.41,F,TX,"Scientist, biomedical",0
1/13/19 7:26,fraud_Koepp-Witting,grocery_pos,308.84,M,PA,Retail merchandiser,1
2/2/19 23:47,fraud_Koepp-Parker,grocery_pos,295.4,M,PA,Charity fundraiser,1
1/26/19 17:55,"fraud_Gottlieb, Considine and Schultz",shopping_net,9.09,F,NJ,Senior tax professional/tax inspector,0
1/24/19 22:08,fraud_Daugherty-Thompson,food_dining,54.01,M,CA,Immigration officer,0
1/27/19 22:40,fraud_Hudson-Grady,shopping_pos,3.31,F,UT,Futures trader,0
1/13/19 17:34,fraud_Romaguera and Sons,travel,4.96,M,MI,"Designer, jewellery",0
1/4/19 14:48,fraud_Johns-Hoeger,entertainment,61.5,F,TX,Cytogeneticist,0
2/11/19 10:29,fraud_Kunde-Sanford,misc_net,111.22,M,WI,Arts development officer,0
2/2/19 19:20,fraud_Skiles LLC,home,147.39,F,VT,Claims inspector/assessor,0
1/21/19 2:35,"fraud_Moen, Reinger and Murphy",grocery_pos,93.26,F,MN,Analytical chemist,0
